trial_id,dataset,value,dim_factor,metric,learn_rate,reg_factor,reg_bias,omega,xT,xC,tau_mode,with_bias,with_outcome,only_treated,CPrec_10,CPrec_100,CDCG_100,CDCG
0,CP,1.166110139590524,246,upper_bound_log,0.007575004909991881,0.0021768210829587313,0.00030045894748391617,0.047296596700327244,0.042740355287668695,0.051182199262162525,ips,False,True,False,0.07488090082286704,0.028475530532698138,0.7969493176586172,1.166110139590524
1,CP,1.0918932751186252,255,upper_bound_hinge,0.0038620232668384173,2.5559831472228685e-05,4.8240739790777803e-05,0.16347366931364385,0.020954298759385367,0.008138501448677796,ips,False,True,False,0.0584668687743612,0.02822867042009528,0.7207186500598055,1.0918932751186252
2,CP,0.8499271609280704,103,upper_bound_sigmoid,0.010488585392026807,3.499299902279383e-05,0.0002074706115641457,0.09895097012460265,0.03298153757848663,0.053666215360195876,ips,False,True,False,0.02364660025985275,0.015478562148116068,0.3597111622797689,0.8499271609280704
3,CP,1.0017264789061135,189,upper_bound_log,0.0016117300555538424,0.0005503138921018746,0.000578083179829975,0.014621355917723509,0.054113561994304664,0.042059393437199694,ips,True,True,False,0.04036379385015158,0.02089649198787354,0.5324911085468699,1.0017264789061135
4,CP,0.7421798543278876,93,upper_bound_sigmoid,0.01083787666542004,0.004412802826172294,3.7131318717849476e-05,0.09822460691482979,0.02459909181680241,0.0501374161188936,ips,True,True,False,0.0019488956258120397,0.009307059333044609,0.1635910817650193,0.7421798543278876
5,CP,1.0635812761148724,92,upper_bound_log,0.01842393000656634,0.0005427620405124051,0.00015397795687755567,0.06442467237435567,0.028246507452610696,0.052564834501686,ips,True,True,False,0.055651797314854916,0.025677782589865743,0.658349740227112,1.0635812761148724
6,CP,0.8912247768014268,163,upper_bound_sigmoid,0.0006203309769458774,1.0331725908638814e-05,0.00040291451497266443,0.050638997151294045,0.026481301005590985,0.03194347830880838,ips,False,True,False,0.037678648765699436,0.012078822000866176,0.3616888344509105,0.8912247768014268
7,CP,0.9034611987837111,97,upper_bound_log,0.0005615742492372445,0.0005553623760174591,2.3974593271790338e-05,0.15252054207996096,0.017519561737548955,0.012763487875129473,ips,False,True,False,0.023126894759636207,0.018181030749242096,0.39743390628093117,0.9034611987837111
8,CP,1.088704483815583,158,upper_bound_hinge,0.009878799812162707,0.0004090687300371623,0.000532777561465262,0.13735207178011755,0.03298050376642494,0.0022457192929785166,ips,True,True,False,0.06002598527501083,0.027323516673884798,0.7066597799897592,1.088704483815583
9,CP,1.1152269936840942,231,upper_bound_log,0.0029476504310095514,0.00024826377452907177,5.1798207948332186e-05,0.09863687578369176,0.04411150855305864,0.022149159404935188,ips,True,True,False,0.06240796881766999,0.02851450844521438,0.7474687054065312,1.1152269936840942
10,CP,0.9831942960119344,198,upper_bound_log,0.027455305686229156,0.004668409078779587,1.1691275627402753e-05,0.1997886762680122,0.0449739905632971,0.037744909622146584,ips,False,True,False,0.04053702901689043,0.021537462104807274,0.5230475428519301,0.9831942960119344
11,CP,1.166642240873681,255,upper_bound_log,0.003062099727172268,0.00013141121559238905,8.375186218269556e-05,0.05798249442761347,0.04387739432146423,0.01979089839533811,ips,True,True,False,0.07574707665656129,0.0286617583369424,0.8006941490593097,1.166642240873681
12,CP,1.1824510727091004,252,upper_bound_log,0.005399454062668788,9.453751084903813e-05,0.00013918994666396937,0.04481216832150676,0.042951948216576614,0.020756650129220934,ips,True,True,False,0.07730619315721092,0.030025985275010828,0.8363523873573792,1.1824510727091004
13,CP,1.0213513614341645,218,upper_bound_log,0.0013582044957873287,8.435619088040658e-05,9.738623097604049e-05,0.06873026156257642,0.05529472235742433,0.021263230650522536,ips,True,True,False,0.04213945430922477,0.02498917280207882,0.6046187729358203,1.0213513614341645
14,CP,1.1217071210815854,135,upper_bound_log,0.00414631018817893,8.957316879436036e-05,0.00010024839957721008,0.012100530551719772,0.04908874754616763,0.02112603666917138,ips,True,True,False,0.06366392377652663,0.025617150281507146,0.7153627097068346,1.1217071210815854
15,CP,1.0698737351258951,219,upper_bound_hinge,0.0019508988555600954,9.596343918773153e-05,0.0009510100036639769,0.03583596321246376,0.040051716801718984,0.02795887404259637,ips,True,True,False,0.05582503248159376,0.0259549588566479,0.6661314912622962,1.0698737351258951
16,CP,1.1620399873477765,194,upper_bound_log,0.0054739928446998634,0.00016452880866636423,8.844335510833214e-05,0.06829758027874407,0.03764146301638207,0.013470643467862961,ips,True,True,False,0.0765266349068861,0.029120831528800347,0.8037013861749905,1.1620399873477765
17,CP,0.9925621679485195,234,upper_bound_log,0.001027238023782916,3.5977409514304524e-05,0.00016610086492892153,0.03116855897252124,0.011758422970807366,0.027276387867766528,ips,True,True,False,0.037029016890428756,0.022806409701169338,0.5478152164274058,0.9925621679485195
18,CP,0.8701603870865221,254,upper_bound_hinge,0.00035248791328757595,0.001119378871468657,2.1749235342671937e-05,0.08079670590983963,0.05909468563883752,0.015063744532377197,ips,True,True,False,0.01779991338241663,0.01652230402771763,0.3538324466904065,0.8701603870865221
19,CP,0.8593450420249973,130,upper_bound_sigmoid,0.002389476022087837,0.00018104307640656544,6.802558017361506e-05,0.1238891118521915,0.04807053230136897,0.03814715346001274,ips,True,True,False,0.026418362927674317,0.015435253356431356,0.37181688692001896,0.8593450420249973
20,CP,1.1362298373361,210,upper_bound_log,0.006016099794987286,5.447696967435875e-05,0.0001327963749423396,0.07978292233970254,0.05086843353007842,0.00248882528888034,ips,True,True,False,0.07189259419662192,0.029792117799913382,0.7875207680744744,1.1362298373361
