trial_id,dataset,value,dim_factor,metric,learn_rate,reg_factor,reg_bias,omega,xT,xC,tau_mode,with_bias,with_outcome,only_treated,CPrec_10,CPrec_100,CDCG_100,CDCG
0,CO,0.7240741097894298,245,upper_bound_hinge,0.0017910569093118728,2.551353594815556e-05,3.15195767315051e-05,0.07189843620174162,0.023593216565977966,0.020551021369978602,ips,True,True,False,0.0074924209614551755,0.006418362927674318,0.1401608720535974,0.7240741097894298
1,CO,0.7345412866224603,123,upper_bound_hinge,0.009465083626696224,0.0012957890540743703,2.411101527439059e-05,0.11876785421393705,0.022861347268975575,0.017732755205423657,ips,True,True,False,0.009614551754006063,0.0074880900822867046,0.16435731420511146,0.7345412866224603
2,CO,0.708886050624454,148,upper_bound_hinge,0.0013184440789133728,0.0017597953188085986,3.870954721781784e-05,0.12876581349304173,0.05206572532615312,0.030045535536685573,ips,False,True,False,0.005153746210480727,0.005279341706366392,0.11163549290928251,0.708886050624454
3,CO,0.742347059445907,138,upper_bound_log,0.016957414436662634,6.460199198546499e-05,4.616871495551771e-05,0.06767262059420212,0.05578312749469266,0.048941625919301304,ips,False,True,False,0.011173668254655695,0.00740147249891728,0.16922299093289883,0.742347059445907
4,CO,0.7567360469863528,181,upper_bound_log,0.003600287044079731,0.00017610390819072224,0.0006653041966056605,0.14328586505547844,0.03513145302055588,0.05886007113979913,ips,True,True,False,0.014335210047639671,0.00833694239930706,0.19662438597185283,0.7567360469863528
5,CO,0.7681389239045787,99,upper_bound_sigmoid,0.004704644189668051,5.7361459144123893e-05,7.026570153966641e-05,0.04964655919127592,0.014326453039828454,0.02856437680579745,ips,True,True,False,0.009614551754006063,0.010489389346037246,0.2257958242263054,0.7681389239045787
6,CO,0.7460513745662004,170,upper_bound_hinge,0.002796847674519145,0.00024832033707972986,1.1120846768388995e-05,0.02044223971402504,0.02074899856320422,0.032409633356712944,ips,False,True,False,0.012472932005197055,0.007154612386314422,0.17457277520934944,0.7460513745662004
7,CO,0.6834983594269814,206,upper_bound_log,0.024403969007190395,0.003918796235400683,0.0007308909527047542,0.18019277362873642,0.04115744752477528,0.015771439031328396,ips,False,True,False,0.0036812472932005198,0.0030879168471199653,0.06794127574948597,0.6834983594269814
8,CO,0.745776457962495,135,upper_bound_hinge,0.009248015579523695,0.0002021783782439527,0.00017799626855625363,0.1866087662910002,0.045112449162774106,0.052501300643790695,ips,True,True,False,0.011823300129926375,0.007890861844954526,0.17895526290446792,0.745776457962495
9,CO,0.7064410579011873,136,upper_bound_sigmoid,0.0003402109380502245,0.00032837651098957543,4.011301097669848e-05,0.14371275463273506,0.05881782573152901,0.04469205939435608,ips,False,True,False,0.0038977912516240795,0.005179731485491555,0.10509793695256164,0.7064410579011873
