trial_id,dataset,value,dim_factor,metric,learn_rate,reg_factor,reg_bias,omega,xT,xC,tau_mode,with_bias,with_outcome,only_treated,CPrec_10,CPrec_100,CDCG_100,CDCG
0,CP,0.8490633432625614,181,upper_bound_sigmoid,0.0088903727309527,7.342489319568731e-05,2.8847741578069528e-05,0.0871264990868396,0.0449346294261999,0.0134352260683107,ips,False,True,False,0.0204850584668687,0.017665656128194,0.3850994582105472,0.8490633432625614
1,CP,1.286011249215202,223,upper_bound_log,0.0080653673069293,0.0003886366561792,0.0005469273530865,0.0674557646172303,0.0398137244075601,0.0543111912943411,ips,True,True,False,0.0852750108271979,0.0409268081420528,1.036919435878912,1.286011249215202
2,CP,1.0698292828796772,80,upper_bound_log,0.0025327920233431,4.289447174078608e-05,0.0001836489240419,0.068055759120743,0.0357513782197738,0.0295475351532568,ips,True,True,False,0.0449112169770463,0.0288220008661758,0.6674193367481709,1.0698292828796772
3,CP,0.7656498036072523,82,upper_bound_hinge,0.0003106910950322,9.572378179982852e-05,1.7036926654511073e-05,0.0531747487426198,0.0412123524510352,0.0057703562244465,ips,False,True,False,0.009917713295799,0.0076786487656994,0.1662155508718225,0.7656498036072523
4,CP,1.2391922703772342,198,upper_bound_log,0.0042032160730894,0.0006971036669242,0.0004948402039113,0.1541164773088632,0.0179366178365291,0.0119697031322479,ips,False,True,False,0.0730186227804244,0.0395062797747942,0.9698752536048548,1.2391922703772342
5,CP,1.2043682687340138,159,upper_bound_log,0.0039780698813495,0.0009407221688073,0.000388078269276,0.1930200650701067,0.0356442717306162,0.0358060460816055,ips,False,True,False,0.0675617150281507,0.0375617150281507,0.9108478113683336,1.2043682687340138
6,CP,1.1853062752103507,175,upper_bound_hinge,0.0133068417529293,0.0037101088394201,0.0001598408940177,0.1383555684126007,0.0490035102964108,0.0059959036514728,ips,False,True,False,0.0698137721957557,0.0328843655262018,0.8308732997649462,1.1853062752103507
7,CP,0.7209725862477834,157,upper_bound_sigmoid,0.0029528384179585,0.0024787779221535,0.0006365262742481,0.026842152691685,0.0298169466482222,0.041740396564692,ips,False,True,False,0.0048938934603724,0.0037072325682113,0.0945178472182702,0.7209725862477834
8,CP,0.8887533008083371,159,upper_bound_sigmoid,0.0019213751524411,6.058256158637474e-05,3.741769507115496e-05,0.1137861017304143,0.0113721452013934,0.0097662216148395,ips,True,True,False,0.039237765266349,0.0159722823733217,0.4072076901968533,0.8887533008083371
9,CP,1.1399387342245813,102,upper_bound_hinge,0.0073519751060686,0.0015909478489458,0.0005870254815854,0.1085974908779308,0.0235934655191065,0.0068727509182377,ips,True,True,False,0.0546990038977912,0.0340580337808575,0.7990903893957727,1.1399387342245813
10,CP,1.1249074909687806,253,upper_bound_log,0.0284677119769469,0.000265043885167,6.971440652122629e-05,0.0101969115556918,0.058327439360204,0.05972329400259,ips,True,True,False,0.055478562148116,0.0298224339540926,0.7303917209627879,1.1249074909687806
11,CP,0.9641741895670004,232,upper_bound_log,0.0009246203596597,0.000395176198948,0.000986518051153,0.1682885988089215,0.0169586855191095,0.0590406036373683,ips,True,True,False,0.0256821134690342,0.0234213945430922,0.4973787875528033,0.9641741895670004
12,CP,1.1977674298520926,218,upper_bound_log,0.0210600967338658,0.0007221176642146,0.0002968762041175,0.1483151801404039,0.0253848672748209,0.0235927919034499,ips,True,True,False,0.075790385448246,0.0338371589432654,0.8609838988142223,1.1977674298520926
13,CP,1.2034335652662964,205,upper_bound_log,0.0059401717878333,2.0055493745998754e-05,0.000119427570306,0.1319676869791087,0.0528840820042412,0.0478278541402382,ips,False,True,False,0.069770463404071,0.0393157210913815,0.9352849371962656,1.2034335652662964
14,CP,1.1051105907713663,200,upper_bound_log,0.0013619119501495,0.0001847460505716,0.0003306279898691,0.0779112162702049,0.0207522279839917,0.0197478159240549,ips,False,True,False,0.0537895192724123,0.0308401905586834,0.726010500018945,1.1051105907713663
15,CP,1.2291275605375886,256,upper_bound_log,0.0150060280932309,0.0005605567441594,0.0007241729409373,0.1974283167575755,0.0104331887848752,0.0477126286044803,ips,True,True,False,0.0775227371156344,0.0360935469900389,0.9216898537882612,1.2291275605375886
16,CP,1.0859371450846778,134,upper_bound_log,0.004960909639833,0.0012060305991034,7.492838227457193e-05,0.0469538927228769,0.0312048618335143,0.0195326277440655,ips,True,True,False,0.0496318752706799,0.0296102208748375,0.6873870407964345,1.0859371450846778
17,CP,1.2529028927274295,231,upper_bound_log,0.0101956706540266,0.0001776587222751,0.0002416089414003,0.1612927098344778,0.0402076995910125,0.0301829410613183,ips,False,True,False,0.0794716327414465,0.0394283239497618,0.9865103290022368,1.2529028927274295
18,CP,1.20913074393787,228,upper_bound_hinge,0.0120150621947358,0.0001927009504486,0.0001920204278408,0.1744696476389454,0.0416819950988998,0.0320666803404656,ips,False,True,False,0.0765266349068861,0.0369077522737115,0.9110574651362564,1.20913074393787
19,CP,0.93218212998379,237,upper_bound_sigmoid,0.0091894146050525,1.2951032476855324e-05,0.0002546064329266,0.0984740732013089,0.0397159171172043,0.050177593028707,ips,True,True,False,0.0405370290168904,0.0195106106539627,0.4917367675254684,0.93218212998379
20,CP,1.144196861446855,132,upper_bound_log,0.0199467991364599,0.0001209596368216,1.096128748504037e-05,0.1232968509528605,0.0480669593362695,0.0395270494862838,ips,False,True,False,0.0598527501082719,0.0336076223473365,0.8020618122727499,1.144196861446855
21,CP,1.1892778059589264,192,upper_bound_log,0.0033912781181317,0.0004142065540384,0.0004505949572573,0.157005357814873,0.0302903239330361,0.027152796731498,ips,False,True,False,0.0629276743178865,0.0379385015158077,0.901888216926897,1.1892778059589264
