trial_id,dataset,value,dim_factor,metric,learn_rate,reg_factor,reg_bias,omega,xT,xC,tau_mode,with_bias,with_outcome,only_treated,CPrec_10,CPrec_100,CDCG_100,CDCG
0,CP,0.7799560130877761,120,upper_bound_sigmoid,0.0003908746895926165,0.0014571207818308916,0.00029158938161789953,0.14781214190515987,0.03691452982448383,0.05979414394922673,ips,True,True,False,0.014984841922910351,0.007895192724122996,0.2002427015043307,0.7799560130877761
1,CP,0.9649412125801569,186,upper_bound_log,0.00321006606782873,0.0014369989742833715,3.65874330199771e-05,0.02746890801490439,0.05459971511747048,0.016671521817973805,ips,False,True,False,0.03521004763967085,0.018475530532698136,0.47467606723951244,0.9649412125801569
2,CP,0.8911682750229927,153,upper_bound_hinge,0.0007251842529847462,0.00021731678038095894,0.0001001803550601632,0.19903870671245638,0.039944890630737626,0.044307097010333245,ips,False,True,False,0.019705500216543957,0.021455175400606322,0.44206556533073704,0.8911682750229927
3,CP,0.9371655149828412,137,upper_bound_log,0.00902924528552836,0.000534241203636909,0.0005337199479315358,0.01015544782409063,0.0335029799107587,0.034583102107242,ips,False,True,False,0.027241229969683846,0.01981810307492421,0.4661551494816713,0.9371655149828412
4,CP,1.14806710507241,134,upper_bound_log,0.012486875818965282,0.0002550680905650742,3.475059532995349e-05,0.018715436523073316,0.046458313017394656,0.04279159819447456,ips,True,True,False,0.07180597661325248,0.024963187527067995,0.7511527114812242,1.14806710507241
5,CP,1.186878338663419,232,upper_bound_log,0.0041060958451729825,2.6940318288252382e-05,5.6150606109733735e-05,0.019077913293274244,0.04230640149266141,0.015350599460204586,ips,True,True,False,0.08176699870073625,0.024993503681247295,0.7928529871510287,1.186878338663419
6,CP,1.0674492459081582,120,upper_bound_hinge,0.010288342015067549,1.468667045338344e-05,8.608717860607918e-05,0.17602165895345948,0.029288587032375933,0.0546639131897369,ips,True,True,False,0.06032914681680381,0.0237895192724123,0.6566617870468726,1.0674492459081582
7,CP,0.9926233218474532,201,upper_bound_hinge,0.02143367156425943,0.003979461489796163,0.0006534050531250353,0.1581121388702236,0.058903694489824555,0.030919669102384306,ips,False,True,False,0.04231268947596362,0.02061931572109138,0.5340978373656508,0.9926233218474532
8,CP,0.9444880410027,147,upper_bound_log,0.00047333607560952427,0.0001810291108950857,4.7873476688395205e-05,0.01404026590541491,0.030519283853282494,0.028577467581349714,ips,False,True,False,0.037418796015591164,0.018310957124296232,0.45073988178137075,0.9444880410027
9,CP,0.7718020860649127,166,upper_bound_sigmoid,0.0005079207734736263,1.7558654720969277e-05,1.4254321751978079e-05,0.17988092250441481,0.016467231814807123,0.031502235728575335,ips,True,True,False,0.01429190125595496,0.008107405803378086,0.19434537354281786,0.7718020860649127
10,CP,1.0979399999098207,256,upper_bound_log,0.0021274781141847918,4.510736385598924e-05,1.1118890061601461e-05,0.07806467154064392,0.017638010412956658,0.0012740889335610545,ips,True,True,False,0.06513642269380684,0.025656128194023388,0.7126361342182623,1.0979399999098207
11,CP,1.1240248689575842,91,upper_bound_log,0.0047696919255152785,6.391103363129276e-05,2.913145472302669e-05,0.0610724406285643,0.04740607386454928,0.01332751572437415,ips,True,True,False,0.06738847986141187,0.02389346037245561,0.7134530809237768,1.1240248689575842
12,CP,1.0539967295343502,252,upper_bound_log,0.0262018217031661,6.343963823054305e-05,0.00012438865220899332,0.050709344769398666,0.046540293016751735,0.01763250275385301,ips,True,True,False,0.057644001732351666,0.023772195755738416,0.642569578179562,1.0539967295343502
13,CP,1.1190400141561108,233,upper_bound_log,0.009585732758912162,0.00039384688708753835,2.183008578568147e-05,0.10623191229114226,0.044195022347970875,0.043439850699649264,ips,True,True,False,0.0733217843222174,0.025067128627111305,0.7260096367589258,1.1190400141561108
14,CP,1.0159701909514185,210,upper_bound_log,0.0013645837522174365,0.00011424723475334458,6.641450307921903e-05,0.11210423924533065,0.052769895078771875,0.044017127350699126,ips,True,True,False,0.0501948895625812,0.024174967518406237,0.6082441943005469,1.0159701909514185
