trial_id,dataset,value,dim_factor,metric,learn_rate,reg_factor,reg_bias,omega,xT,xC,tau_mode,with_bias,with_outcome,only_treated,CPrec_10,CPrec_100,CDCG_100,CDCG
0,CO,0.7958946622619155,208,upper_bound_hinge,0.0005299220168877166,0.000342818984819193,9.195119442044485e-05,0.1328331559785519,0.03699902954170761,0.05833383478026425,ips,False,True,False,0.011996535296665223,0.011394543092247727,0.24075380613545605,0.7958946622619155
1,CO,0.8134954148013512,134,upper_bound_hinge,0.0023826306495312445,0.0021462602523007863,1.0708454452323739e-05,0.04710856581699442,0.04871134320704112,0.045391761440594355,ips,False,True,False,0.015244694673018623,0.014049372022520571,0.2949081060429659,0.8134954148013512
2,CO,0.8057747607705217,165,upper_bound_hinge,0.001556201731723376,2.1074430067843542e-05,9.092150355936607e-05,0.08289989500743349,0.04341702301192835,0.017812112710312595,ips,False,True,False,0.01563447379818103,0.01285404937202252,0.27037989333491924,0.8057747607705217
3,CO,0.831125634718697,110,upper_bound_hinge,0.009005462151760723,0.0037906094403547964,4.630372242058508e-05,0.1036459095029144,0.02419985973060887,0.0015173624071432696,ips,True,True,False,0.01628410567345171,0.013663923776526634,0.30623901408525733,0.831125634718697
4,CO,0.7261250377971068,256,upper_bound_sigmoid,0.0008562192758099525,0.0005632338488846158,7.093802868053644e-05,0.1819327318783496,0.037103813486983196,0.03688611217925457,ips,True,True,False,0.006886097877869208,0.005275010827197921,0.12666228989495562,0.7261250377971068
5,CO,0.8392363445812048,196,upper_bound_hinge,0.006312711108714512,9.88473775175877e-05,0.0003759602308869696,0.09042850288897229,0.017535119837507135,0.0358465120473549,ips,False,True,False,0.01779991338241663,0.01451277609354699,0.3264277636322765,0.8392363445812048
6,CO,0.8170406106799702,169,upper_bound_hinge,0.0026470326492320567,2.6724475254036785e-05,8.560711966687829e-05,0.18036386868226292,0.03197115835326854,0.027196743903721912,ips,False,True,False,0.016717193590298832,0.013261152013858813,0.28711928812306015,0.8170406106799702
7,CO,0.8182855747914245,221,upper_bound_log,0.018000315936375126,1.4027910655291982e-05,0.00038429448295831617,0.17705308092874755,0.048078191995787334,0.034162705328255154,ips,True,True,False,0.017236899090515373,0.013053269813772196,0.2864278477465437,0.8182855747914245
8,CO,0.8325410107393807,206,upper_bound_hinge,0.011498904460734963,0.0008680000320754102,2.4728499436475013e-05,0.1768265349413878,0.05094385700458409,0.0046364874860120794,ips,False,True,False,0.01779991338241663,0.013936769164140321,0.31205414402035625,0.8325410107393807
9,CO,0.8371159018561164,211,upper_bound_log,0.002175500467288623,4.7728881692855134e-05,0.00023804176734975284,0.040583590929048736,0.023726629841224624,0.046889379486488435,ips,False,True,False,0.019878735383282806,0.013737548722390646,0.314501181961382,0.8371159018561164
10,CO,0.7552922186031897,96,upper_bound_sigmoid,0.0055569867804024205,9.9932055913032e-05,0.0007009818696314933,0.01212694870127122,0.010108533253732642,0.01967746506059325,ips,True,True,False,0.007535729753139888,0.010848852317020355,0.2175077119959787,0.7552922186031897
11,CO,0.8021482938575742,177,upper_bound_log,0.029727750346850185,9.146084230933327e-05,0.0002820415875520786,0.06068467817919542,0.01727178728990767,0.04927287596569316,ips,False,True,False,0.012472932005197055,0.012836725855348636,0.2666049373992681,0.8021482938575742
12,CO,0.8461489276373614,244,upper_bound_log,0.0057427706553126725,8.38525517224987e-05,0.00022061446406638523,0.01990606787471487,0.023466602212064216,0.04458651557611108,ips,False,True,False,0.022867042009527935,0.01443915114768298,0.33336130970141414,0.8461489276373614
13,CO,0.838665932325788,248,upper_bound_log,0.00520902261704335,0.0001929582648270551,0.0008683022111620481,0.13452987052325932,0.020369593529290398,0.0402371029900911,ips,False,True,False,0.01684711996535297,0.013980077955825032,0.3195811217499366,0.838665932325788
14,CO,0.8443205209347537,232,upper_bound_log,0.00597538572839538,0.00012679942018975975,0.00018482236969004888,0.011748063366218293,0.0104596365710352,0.05859858026400604,ips,False,True,False,0.022477262884365527,0.0140450411433521,0.32554308412985694,0.8443205209347537
15,CO,0.8288231688608447,233,upper_bound_log,0.004127627178481315,0.00019722808489977154,0.0001770598407804366,0.012469014281984313,0.010987339693534501,0.0595080928824166,ips,False,True,False,0.019185794716327413,0.014036379385015159,0.30996755985290375,0.8288231688608447
16,CO,0.8226515370178213,235,upper_bound_log,0.013462538572598614,5.317684698638285e-05,0.0001618948903298865,0.03218802189527503,0.03008242502734846,0.05357032703786841,ips,False,True,False,0.017843222174101343,0.0143308791684712,0.3085115332435667,0.8226515370178213
17,CO,0.8236538750758948,140,upper_bound_log,0.022712125145588333,0.00034662726648761666,0.0005120102014546289,0.06461189840836971,0.013796346390568977,0.052862973286807634,ips,False,True,False,0.0173235166738848,0.013941100043308792,0.3033025134601654,0.8236538750758948
18,CO,0.8107347219054367,185,upper_bound_log,0.0012353707871700825,0.0008863731828470214,0.00014889232370174488,0.028780106232122037,0.02656533487236236,0.04305255569112187,ips,True,True,False,0.014248592464270246,0.013533997401472498,0.2843620184805981,0.8107347219054367
